  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ------------------------------
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3           168          28  6.00000000  {4: 8, 2: 4, 8: 16}
  4          7016         924  7.59307359  {8: 832, 4: 88, 2: 4}
  5         63016        8008  7.86913087  {8: 7752, 4: 244, 2: 12}
  6        307728       38760  7.93931889  {8: 38176, 4: 576, 2: 8}
  7       1072488      134596  7.96820114  {8: 133536, 4: 1040, 2: 20}
  8       3006712      376740  7.98086744  {8: 374944, 4: 1784, 2: 12}
  9       7238504      906192  7.98782598  {8: 903448, 4: 2716, 2: 28}
 10      15566112     1947792  7.99167057  {8: 1943744, 4: 4032, 2: 16}
 11      30684456     3838380  7.99411627  {8: 3832752, 4: 5592, 2: 36}
 12      56441736     7059052  7.99565381  {8: 7051392, 4: 7640, 2: 20}
 13      98131880    12271512  7.99672282  {8: 12261480, 4: 9988, 2: 44}
 14     162816304    20358520  7.99745286  {8: 20345568, 4: 12928, 2: 24}
