  N    orbits    branches    quotient
---  --------  ----------  ----------
  1         0           0  0.00000000
  2        20           6  3.33333333
  3       200          36  5.55555556
  4       792         120  6.60000000
  5      1952         276  7.07246377
  6      3640         496  7.33870968
  7      5824         780  7.46666667
  8      8536        1128  7.56737589
  9     11744        1540  7.62597403
 10     15480        2016  7.67857143
 11     19712        2556  7.71205008
 12     24472        3160  7.74430380
 13     29728        3828  7.76593521
 14     35512        4560  7.78771930
 15     41792        5356  7.80283794
 16     48600        6216  7.81853282
 17     55904        7140  7.82969188
 18     63736        8128  7.84153543
 19     72064        9180  7.85010893
 20     80920       10296  7.85936286
 21     90272       11476  7.86615545
 22    100152       12720  7.87358491
 23    110528       14028  7.87909894
 24    121432       15400  7.88519481
 25    132832       16836  7.88976004
 26    144760       18336  7.89485166
 27    157184       19900  7.89869347
 28    170136       21528  7.90301003
 29    183584       23220  7.90628768
 30    197560       24976  7.90999359
 31    212032       26796  7.91282281
 32    227032       28680  7.91603905
 33    242528       30628  7.91850594
 34    258552       32640  7.92132353
 35    275072       34716  7.92349349
 36    292120       36856  7.92598220
 37    309664       39060  7.92790579
 38    327736       41328  7.93012002
 39    346304       43660  7.93183692
 40    365400       46056  7.93381970
 41    384992       48516  7.93536153
 42    405112       51040  7.93714734
 43    425728       53628  7.93853957
 44    446872       56280  7.94015636
 45    468512       58996  7.94141976
 46    490680       61776  7.94289044
 47    513344       64620  7.94404209
 48    536536       67528  7.94538562
 49    560224       70500  7.94643972
 50    584440       73536  7.94767189
