  N    orbits    branches    quotient
---  --------  ----------  ----------
  1         0           0  0.00000000
  2        20           6  3.33333333
  3       200          36  5.55555556
  4       792         120  6.60000000
  5      1952         276  7.07246377
  6      3640         496  7.33870968
  7      5824         780  7.46666667
  8      8536        1128  7.56737589
  9     11744        1540  7.62597403
 10     15480        2016  7.67857143
 11     19712        2556  7.71205008
 12     24472        3160  7.74430380
 13     29728        3828  7.76593521
 14     35512        4560  7.78771930
 15     41792        5356  7.80283794
 16     48600        6216  7.81853282
 17     55904        7140  7.82969188
 18     63736        8128  7.84153543
 19     72064        9180  7.85010893
 20     80920       10296  7.85936286
 21     90272       11476  7.86615545
 22    100152       12720  7.87358491
 23    110528       14028  7.87909894
 24    121432       15400  7.88519481
 25    132832       16836  7.88976004
 26    144760       18336  7.89485166
 27    157184       19900  7.89869347
 28    170136       21528  7.90301003
 29    183584       23220  7.90628768
 30    197560       24976  7.90999359
 31    212032       26796  7.91282281
 32    227032       28680  7.91603905
 33    242528       30628  7.91850594
 34    258552       32640  7.92132353
 35    275072       34716  7.92349349
 36    292120       36856  7.92598220
 37    309664       39060  7.92790579
 38    327736       41328  7.93012002
 39    346304       43660  7.93183692
 40    365400       46056  7.93381970
 41    384992       48516  7.93536153
 42    405112       51040  7.93714734
 43    425728       53628  7.93853957
 44    446872       56280  7.94015636
 45    468512       58996  7.94141976
 46    490680       61776  7.94289044
 47    513344       64620  7.94404209
 48    536536       67528  7.94538562
 49    560224       70500  7.94643972
 50    584440       73536  7.94767189
 51    609152       76636  7.94864033
 52    634392       79800  7.94977444
 53    660128       83028  7.95066724
 54    686392       86320  7.95171455
 55    713152       89676  7.95254026
 56    740440       93096  7.95351035
 57    768224       96580  7.95427625
 58    796536      100128  7.95517737
 59    825344      103740  7.95588972
 60    854680      107416  7.95672898
 61    884512      111156  7.95739321
 62    914872      114960  7.95817676
 63    945728      118828  7.95879759
 64    977112      122760  7.95953079
 65   1008992      126756  7.96011234
 66   1041400      130816  7.96079990
 67   1074304      134940  7.96134578
 68   1107736      139128  7.96199183
 69   1141664      143380  7.96250523
 70   1176120      147696  7.96311342
 71   1211072      152076  7.96359715
 72   1246552      156520  7.96417071
 73   1282528      161028  7.96462727
 74   1319032      165600  7.96516908
 75   1356032      170236  7.96560070
 76   1393560      174936  7.96611332
 77   1431584      179700  7.96652198
 78   1470136      184528  7.96700772
 79   1509184      189420  7.96739521
 80   1548760      194376  7.96785611
 81   1588832      199396  7.96822404
 82   1629432      204480  7.96866197
 83   1670528      209628  7.96901177
 84   1712152      214840  7.96942841
 85   1754272      220116  7.96976140
 86   1796920      225456  7.97015826
 87   1840064      230860  7.97047561
 88   1883736      236328  7.97085407
 89   1927904      241860  7.97115687
 90   1972600      247456  7.97151817
 91   2017792      253116  7.97180739
 92   2063512      258840  7.97215268
 93   2109728      264628  7.97242922
 94   2156472      270480  7.97275954
 95   2203712      276396  7.97302421
 96   2251480      282376  7.97334051
 97   2299744      288420  7.97359406
 98   2348536      294528  7.97389722
 99   2397824      300700  7.97414034
100   2447640      306936  7.97443115
