  N    orbits    quotient
---  --------  ----------
  1         0  0.00000000
  2        20  3.33333333
  3       200  5.55555556
  4       792  6.60000000
  5      1952  7.07246377
  6      3640  7.33870968
  7      5824  7.46666667
  8      8536  7.56737589
  9     11744  7.62597403
 10     15480  7.67857143
 11     19712  7.71205008
 12     24472  7.74430380
 13     29728  7.76593521
 14     35512  7.78771930
 15     41792  7.80283794
 16     48600  7.81853282
 17     55904  7.82969188
 18     63736  7.84153543
 19     72064  7.85010893
 20     80920  7.85936286
 21     90272  7.86615545
 22    100152  7.87358491
 23    110528  7.87909894
 24    121432  7.88519481
 25    132832  7.88976004
 26    144760  7.89485166
 27    157184  7.89869347
 28    170136  7.90301003
 29    183584  7.90628768
 30    197560  7.90999359
 31    212032  7.91282281
 32    227032  7.91603905
 33    242528  7.91850594
 34    258552  7.92132353
 35    275072  7.92349349
 36    292120  7.92598220
 37    309664  7.92790579
 38    327736  7.93012002
 39    346304  7.93183692
 40    365400  7.93381970
 41    384992  7.93536153
 42    405112  7.93714734
 43    425728  7.93853957
 44    446872  7.94015636
 45    468512  7.94141976
 46    490680  7.94289044
 47    513344  7.94404209
 48    536536  7.94538562
 49    560224  7.94643972
 50    584440  7.94767189
 51    609152  7.94864033
 52    634392  7.94977444
 53    660128  7.95066724
 54    686392  7.95171455
 55    713152  7.95254026
 56    740440  7.95351035
 57    768224  7.95427625
 58    796536  7.95517737
 59    825344  7.95588972
 60    854680  7.95672898
 61    884512  7.95739321
 62    914872  7.95817676
 63    945728  7.95879759
 64    977112  7.95953079
 65   1008992  7.96011234
 66   1041400  7.96079990
 67   1074304  7.96134578
 68   1107736  7.96199183
 69   1141664  7.96250523
 70   1176120  7.96311342
 71   1211072  7.96359715
 72   1246552  7.96417071
 73   1282528  7.96462727
 74   1319032  7.96516908
 75   1356032  7.96560070
 76   1393560  7.96611332
 77   1431584  7.96652198
 78   1470136  7.96700772
 79   1509184  7.96739521
 80   1548760  7.96785611
 81   1588832  7.96822404
 82   1629432  7.96866197
 83   1670528  7.96901177
 84   1712152  7.96942841
 85   1754272  7.96976140
 86   1796920  7.97015826
 87   1840064  7.97047561
 88   1883736  7.97085407
 89   1927904  7.97115687
 90   1972600  7.97151817
 91   2017792  7.97180739
 92   2063512  7.97215268
 93   2109728  7.97242922
 94   2156472  7.97275954
 95   2203712  7.97302421
 96   2251480  7.97334051
 97   2299744  7.97359406
 98   2348536  7.97389722
 99   2397824  7.97414034
100   2447640  7.97443115
