  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2            20           6  3.33333333  {4: 4, 2: 2}
  3           168          28  6.00000000  {8: 16, 4: 8, 2: 4}
  4           420          66  6.36363636  {8: 40, 4: 24, 2: 2}
  5           824         120  6.86666667  {8: 88, 4: 28, 2: 4}
  6          1332         190  7.01052632  {8: 144, 4: 44, 2: 2}
  7          1992         276  7.21739130  {8: 224, 4: 48, 2: 4}
  8          2756         378  7.29100529  {8: 312, 4: 64, 2: 2}
  9          3672         496  7.40322581  {8: 424, 4: 68, 2: 4}
 10          4692         630  7.44761905  {8: 544, 4: 84, 2: 2}
 11          5864         780  7.51794872  {8: 688, 4: 88, 2: 4}
 12          7140         946  7.54756871  {8: 840, 4: 104, 2: 2}
 13          8568        1128  7.59574468  {8: 1016, 4: 108, 2: 4}
 14         10100        1326  7.61689291  {8: 1200, 4: 124, 2: 2}
 15         11784        1540  7.65194805  {8: 1408, 4: 128, 2: 4}
 16         13572        1770  7.66779661  {8: 1624, 4: 144, 2: 2}
 17         15512        2016  7.69444444  {8: 1864, 4: 148, 2: 4}
 18         17556        2278  7.70676032  {8: 2112, 4: 164, 2: 2}
 19         19752        2556  7.72769953  {8: 2384, 4: 168, 2: 4}
 20         22052        2850  7.73754386  {8: 2664, 4: 184, 2: 2}
 21         24504        3160  7.75443038  {8: 2968, 4: 188, 2: 4}
 22         27060        3486  7.76247849  {8: 3280, 4: 204, 2: 2}
 23         29768        3828  7.77638454  {8: 3616, 4: 208, 2: 4}
 24         32580        4186  7.78308648  {4: 224, 8: 3960, 2: 2}
 25         35544        4560  7.79473684  {4: 228, 8: 4328, 2: 4}
 26         38612        4950  7.80040404  {8: 4704, 4: 244, 2: 2}
 27         41832        5356  7.81030620  {8: 5104, 4: 248, 2: 4}
 28         45156        5778  7.81516096  {8: 5512, 4: 264, 2: 2}
 29         48632        6216  7.82368082  {8: 5944, 4: 268, 2: 4}
 30         52212        6670  7.82788606  {8: 6384, 4: 284, 2: 2}
 31         55944        7140  7.83529412  {8: 6848, 4: 288, 2: 4}
 32         59780        7626  7.83897194  {8: 7320, 4: 304, 2: 2}
 33         63768        8128  7.84547244  {8: 7816, 4: 308, 2: 4}
 34         67860        8646  7.84871617  {8: 8320, 4: 324, 2: 2}
 35         72104        9180  7.85446623  {8: 8848, 4: 328, 2: 4}
 36         76452        9730  7.85734841  {8: 9384, 4: 344, 2: 2}
 37         80952       10296  7.86247086  {8: 9944, 4: 348, 2: 4}
 38         85556       10878  7.86504872  {8: 10512, 4: 364, 2: 2}
 39         90312       11476  7.86964099  {8: 11104, 4: 368, 2: 4}
 40         95172       12090  7.87196030  {8: 11704, 4: 384, 2: 2}
 41        100184       12720  7.87610063  {8: 12328, 4: 388, 2: 4}
 42        105300       13366  7.87819841  {8: 12960, 4: 404, 2: 2}
 43        110568       14028  7.88195038  {8: 13616, 4: 408, 2: 4}
 44        115940       14706  7.88385693  {8: 14280, 4: 424, 2: 2}
 45        121464       15400  7.88727273  {8: 14968, 4: 428, 2: 4}
 46        127092       16110  7.88901304  {8: 15664, 4: 444, 2: 2}
 47        132872       16836  7.89213590  {8: 16384, 4: 448, 2: 4}
 48        138756       17578  7.89373080  {8: 17112, 4: 464, 2: 2}
 49        144792       18336  7.89659686  {8: 17864, 4: 468, 2: 4}
 50        150932       19110  7.89806384  {8: 18624, 4: 484, 2: 2}
