  N    orbits    branches    quotient
---  --------  ----------  ----------
  1         0           0  0.00000000
  2        20           6  3.33333333
  3       168          28  6.00000000
  4       420          66  6.36363636
  5       824         120  6.86666667
  6      1332         190  7.01052632
  7      1992         276  7.21739130
  8      2756         378  7.29100529
  9      3672         496  7.40322581
 10      4692         630  7.44761905
 11      5864         780  7.51794872
 12      7140         946  7.54756871
 13      8568        1128  7.59574468
 14     10100        1326  7.61689291
 15     11784        1540  7.65194805
 16     13572        1770  7.66779661
 17     15512        2016  7.69444444
 18     17556        2278  7.70676032
 19     19752        2556  7.72769953
 20     22052        2850  7.73754386
 21     24504        3160  7.75443038
 22     27060        3486  7.76247849
 23     29768        3828  7.77638454
 24     32580        4186  7.78308648
 25     35544        4560  7.79473684
 26     38612        4950  7.80040404
 27     41832        5356  7.81030620
 28     45156        5778  7.81516096
 29     48632        6216  7.82368082
 30     52212        6670  7.82788606
 31     55944        7140  7.83529412
 32     59780        7626  7.83897194
 33     63768        8128  7.84547244
 34     67860        8646  7.84871617
 35     72104        9180  7.85446623
 36     76452        9730  7.85734841
 37     80952       10296  7.86247086
 38     85556       10878  7.86504872
 39     90312       11476  7.86964099
 40     95172       12090  7.87196030
 41    100184       12720  7.87610063
 42    105300       13366  7.87819841
 43    110568       14028  7.88195038
 44    115940       14706  7.88385693
 45    121464       15400  7.88727273
 46    127092       16110  7.88901304
 47    132872       16836  7.89213590
 48    138756       17578  7.89373080
 49    144792       18336  7.89659686
 50    150932       19110  7.89806384
