  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  --------------
  0             0           0  0.00000000  {}
  1             1           1  1.00000000  {1: 1}
  2            16           4  4.00000000  {4: 4}
  3            17           5  3.40000000  {4: 4, 1: 1}
  4            80          12  6.66666667  {8: 8, 4: 4}
  5            33           9  3.66666667  {4: 8, 1: 1}
  6           144          20  7.20000000  {8: 16, 4: 4}
  7            49          13  3.76923077  {4: 12, 1: 1}
  8           208          28  7.42857143  {8: 24, 4: 4}
  9            65          17  3.82352941  {4: 16, 1: 1}
 10           272          36  7.55555556  {8: 32, 4: 4}
 11            81          21  3.85714286  {4: 20, 1: 1}
 12           336          44  7.63636364  {8: 40, 4: 4}
 13            97          25  3.88000000  {4: 24, 1: 1}
 14           400          52  7.69230769  {8: 48, 4: 4}
 15           113          29  3.89655172  {4: 28, 1: 1}
 16           464          60  7.73333333  {8: 56, 4: 4}
 17           129          33  3.90909091  {4: 32, 1: 1}
 18           528          68  7.76470588  {8: 64, 4: 4}
 19           145          37  3.91891892  {4: 36, 1: 1}
 20           592          76  7.78947368  {8: 72, 4: 4}
 21           161          41  3.92682927  {4: 40, 1: 1}
 22           656          84  7.80952381  {8: 80, 4: 4}
 23           177          45  3.93333333  {4: 44, 1: 1}
 24           720          92  7.82608696  {8: 88, 4: 4}
 25           193          49  3.93877551  {4: 48, 1: 1}
 26           784         100  7.84000000  {8: 96, 4: 4}
 27           209          53  3.94339623  {4: 52, 1: 1}
 28           848         108  7.85185185  {8: 104, 4: 4}
 29           225          57  3.94736842  {4: 56, 1: 1}
 30           912         116  7.86206897  {8: 112, 4: 4}
 31           241          61  3.95081967  {4: 60, 1: 1}
 32           976         124  7.87096774  {8: 120, 4: 4}
 33           257          65  3.95384615  {4: 64, 1: 1}
 34          1040         132  7.87878788  {8: 128, 4: 4}
 35           273          69  3.95652174  {4: 68, 1: 1}
 36          1104         140  7.88571429  {8: 136, 4: 4}
 37           289          73  3.95890411  {4: 72, 1: 1}
 38          1168         148  7.89189189  {8: 144, 4: 4}
 39           305          77  3.96103896  {4: 76, 1: 1}
 40          1232         156  7.89743590  {8: 152, 4: 4}
 41           321          81  3.96296296  {4: 80, 1: 1}
 42          1296         164  7.90243902  {8: 160, 4: 4}
 43           337          85  3.96470588  {4: 84, 1: 1}
 44          1360         172  7.90697674  {8: 168, 4: 4}
 45           353          89  3.96629213  {4: 88, 1: 1}
 46          1424         180  7.91111111  {8: 176, 4: 4}
 47           369          93  3.96774194  {4: 92, 1: 1}
 48          1488         188  7.91489362  {8: 184, 4: 4}
 49           385          97  3.96907216  {4: 96, 1: 1}
 50          1552         196  7.91836735  {8: 192, 4: 4}
