  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2            20           6  3.33333333  {4: 4, 2: 2}
  3            36          10  3.60000000  {4: 8, 2: 2}
  4           420          66  6.36363636  {8: 40, 4: 24, 2: 2}
  5           168          36  4.66666667  {4: 24, 8: 8, 2: 4}
  6          1332         190  7.01052632  {4: 44, 8: 144, 2: 2}
  7           396          78  5.07692308  {4: 48, 8: 24, 2: 6}
  8          2756         378  7.29100529  {4: 64, 8: 312, 2: 2}
  9           720         136  5.29411765  {8: 48, 4: 80, 2: 8}
 10          4692         630  7.44761905  {4: 84, 8: 544, 2: 2}
 11          1140         210  5.42857143  {4: 120, 8: 80, 2: 10}
 12          7140         946  7.54756871  {4: 104, 8: 840, 2: 2}
 13          1656         300  5.52000000  {4: 168, 8: 120, 2: 12}
 14         10100        1326  7.61689291  {4: 124, 8: 1200, 2: 2}
 15          2268         406  5.58620690  {4: 224, 8: 168, 2: 14}
 16         13572        1770  7.66779661  {8: 1624, 4: 144, 2: 2}
 17          2976         528  5.63636364  {4: 288, 8: 224, 2: 16}
 18         17556        2278  7.70676032  {8: 2112, 4: 164, 2: 2}
 19          3780         666  5.67567568  {4: 360, 8: 288, 2: 18}
 20         22052        2850  7.73754386  {8: 2664, 4: 184, 2: 2}
 21          4680         820  5.70731707  {4: 440, 8: 360, 2: 20}
 22         27060        3486  7.76247849  {8: 3280, 4: 204, 2: 2}
 23          5676         990  5.73333333  {4: 528, 8: 440, 2: 22}
 24         32580        4186  7.78308648  {8: 3960, 4: 224, 2: 2}
 25          6768        1176  5.75510204  {4: 624, 8: 528, 2: 24}
 26         38612        4950  7.80040404  {8: 4704, 4: 244, 2: 2}
 27          7956        1378  5.77358491  {4: 728, 8: 624, 2: 26}
 28         45156        5778  7.81516096  {8: 5512, 4: 264, 2: 2}
 29          9240        1596  5.78947368  {4: 840, 8: 728, 2: 28}
 30         52212        6670  7.82788606  {8: 6384, 4: 284, 2: 2}
 31         10620        1830  5.80327869  {4: 960, 8: 840, 2: 30}
 32         59780        7626  7.83897194  {8: 7320, 4: 304, 2: 2}
 33         12096        2080  5.81538462  {4: 1088, 8: 960, 2: 32}
 34         67860        8646  7.84871617  {8: 8320, 4: 324, 2: 2}
 35         13668        2346  5.82608696  {4: 1224, 8: 1088, 2: 34}
 36         76452        9730  7.85734841  {8: 9384, 4: 344, 2: 2}
 37         15336        2628  5.83561644  {4: 1368, 8: 1224, 2: 36}
 38         85556       10878  7.86504872  {8: 10512, 4: 364, 2: 2}
 39         17100        2926  5.84415584  {8: 1368, 4: 1520, 2: 38}
 40         95172       12090  7.87196030  {8: 11704, 4: 384, 2: 2}
 41         18960        3240  5.85185185  {8: 1520, 4: 1680, 2: 40}
 42        105300       13366  7.87819841  {8: 12960, 4: 404, 2: 2}
 43         20916        3570  5.85882353  {8: 1680, 4: 1848, 2: 42}
 44        115940       14706  7.88385693  {8: 14280, 4: 424, 2: 2}
 45         22968        3916  5.86516854  {8: 1848, 4: 2024, 2: 44}
 46        127092       16110  7.88901304  {8: 15664, 4: 444, 2: 2}
 47         25116        4278  5.87096774  {8: 2024, 4: 2208, 2: 46}
 48        138756       17578  7.89373080  {8: 17112, 4: 464, 2: 2}
 49         27360        4656  5.87628866  {8: 2208, 4: 2400, 2: 48}
 50        150932       19110  7.89806384  {8: 18624, 4: 484, 2: 2}
