  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2            20           6  3.33333333  {4: 4, 2: 2}
  3           200          36  5.55555556  {8: 16, 4: 16, 2: 4}
  4           792         120  6.60000000  {8: 80, 4: 36, 2: 4}
  5          1952         276  7.07246377  {8: 216, 4: 52, 2: 8}
  6          3640         496  7.33870968  {8: 416, 4: 76, 2: 4}
  7          5824         780  7.46666667  {8: 680, 4: 92, 2: 8}
  8          8536        1128  7.56737589  {8: 1008, 4: 116, 2: 4}
  9         11744        1540  7.62597403  {8: 1400, 4: 132, 2: 8}
 10         15480        2016  7.67857143  {8: 1856, 4: 156, 2: 4}
 11         19712        2556  7.71205008  {8: 2376, 4: 172, 2: 8}
 12         24472        3160  7.74430380  {8: 2960, 4: 196, 2: 4}
 13         29728        3828  7.76593521  {8: 3608, 4: 212, 2: 8}
 14         35512        4560  7.78771930  {4: 236, 8: 4320, 2: 4}
 15         41792        5356  7.80283794  {4: 252, 8: 5096, 2: 8}
 16         48600        6216  7.81853282  {8: 5936, 4: 276, 2: 4}
 17         55904        7140  7.82969188  {8: 6840, 2: 8, 4: 292}
 18         63736        8128  7.84153543  {8: 7808, 4: 316, 2: 4}
 19         72064        9180  7.85010893  {8: 8840, 4: 332, 2: 8}
 20         80920       10296  7.85936286  {8: 9936, 4: 356, 2: 4}
 21         90272       11476  7.86615545  {8: 11096, 4: 372, 2: 8}
 22        100152       12720  7.87358491  {8: 12320, 4: 396, 2: 4}
 23        110528       14028  7.87909894  {8: 13608, 4: 412, 2: 8}
 24        121432       15400  7.88519481  {8: 14960, 4: 436, 2: 4}
 25        132832       16836  7.88976004  {8: 16376, 4: 452, 2: 8}
 26        144760       18336  7.89485166  {4: 476, 8: 17856, 2: 4}
 27        157184       19900  7.89869347  {4: 492, 8: 19400, 2: 8}
 28        170136       21528  7.90301003  {8: 21008, 4: 516, 2: 4}
 29        183584       23220  7.90628768  {8: 22680, 4: 532, 2: 8}
 30        197560       24976  7.90999359  {8: 24416, 4: 556, 2: 4}
 31        212032       26796  7.91282281  {8: 26216, 4: 572, 2: 8}
 32        227032       28680  7.91603905  {8: 28080, 4: 596, 2: 4}
 33        242528       30628  7.91850594  {8: 30008, 4: 612, 2: 8}
 34        258552       32640  7.92132353  {8: 32000, 4: 636, 2: 4}
 35        275072       34716  7.92349349  {8: 34056, 4: 652, 2: 8}
 36        292120       36856  7.92598220  {8: 36176, 4: 676, 2: 4}
 37        309664       39060  7.92790579  {8: 38360, 4: 692, 2: 8}
 38        327736       41328  7.93012002  {8: 40608, 4: 716, 2: 4}
 39        346304       43660  7.93183692  {8: 42920, 4: 732, 2: 8}
 40        365400       46056  7.93381970  {8: 45296, 4: 756, 2: 4}
 41        384992       48516  7.93536153  {8: 47736, 4: 772, 2: 8}
 42        405112       51040  7.93714734  {8: 50240, 4: 796, 2: 4}
 43        425728       53628  7.93853957  {8: 52808, 4: 812, 2: 8}
 44        446872       56280  7.94015636  {8: 55440, 4: 836, 2: 4}
 45        468512       58996  7.94141976  {8: 58136, 4: 852, 2: 8}
 46        490680       61776  7.94289044  {8: 60896, 4: 876, 2: 4}
 47        513344       64620  7.94404209  {8: 63720, 4: 892, 2: 8}
 48        536536       67528  7.94538562  {8: 66608, 4: 916, 2: 4}
 49        560224       70500  7.94643972  {8: 69560, 4: 932, 2: 8}
 50        584440       73536  7.94767189  {8: 72576, 4: 956, 2: 4}
