  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ----------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4           208          28  7.42857143  {8: 24, 4: 4}
  5            64           8  8.00000000  {8: 8}
  6           736          96  7.66666667  {8: 88, 4: 8}
  7           192          24  8.00000000  {8: 24}
  8          1584         204  7.76470588  {8: 192, 4: 12}
  9           384          48  8.00000000  {8: 48}
 10          2816         360  7.82222222  {8: 344, 4: 16}
 11           640          80  8.00000000  {8: 80}
 12          4432         564  7.85815603  {8: 544, 4: 20}
 13           960         120  8.00000000  {8: 120}
 14          6432         816  7.88235294  {8: 792, 4: 24}
 15          1344         168  8.00000000  {8: 168}
 16          8816        1116  7.89964158  {8: 1088, 4: 28}
 17          1792         224  8.00000000  {8: 224}
 18         11584        1464  7.91256831  {8: 1432, 4: 32}
 19          2304         288  8.00000000  {8: 288}
 20         14736        1860  7.92258065  {8: 1824, 4: 36}
