  N    orbits    branches    quotient
---  --------  ----------  ----------
  1         0           0  0.00000000
  2        20           6  3.33333333
  3        36          10  3.60000000
  4       420          66  6.36363636
  5       168          36  4.66666667
  6      1332         190  7.01052632
  7       396          78  5.07692308
  8      2756         378  7.29100529
  9       720         136  5.29411765
 10      4692         630  7.44761905
 11      1140         210  5.42857143
 12      7140         946  7.54756871
 13      1656         300  5.52000000
 14     10100        1326  7.61689291
 15      2268         406  5.58620690
 16     13572        1770  7.66779661
 17      2976         528  5.63636364
 18     17556        2278  7.70676032
 19      3780         666  5.67567568
 20     22052        2850  7.73754386
 21      4680         820  5.70731707
 22     27060        3486  7.76247849
 23      5676         990  5.73333333
 24     32580        4186  7.78308648
 25      6768        1176  5.75510204
 26     38612        4950  7.80040404
 27      7956        1378  5.77358491
 28     45156        5778  7.81516096
 29      9240        1596  5.78947368
 30     52212        6670  7.82788606
 31     10620        1830  5.80327869
 32     59780        7626  7.83897194
 33     12096        2080  5.81538462
 34     67860        8646  7.84871617
 35     13668        2346  5.82608696
 36     76452        9730  7.85734841
 37     15336        2628  5.83561644
 38     85556       10878  7.86504872
 39     17100        2926  5.84415584
 40     95172       12090  7.87196030
 41     18960        3240  5.85185185
 42    105300       13366  7.87819841
 43     20916        3570  5.85882353
 44    115940       14706  7.88385693
 45     22968        3916  5.86516854
 46    127092       16110  7.88901304
 47     25116        4278  5.87096774
 48    138756       17578  7.89373080
 49     27360        4656  5.87628866
 50    150932       19110  7.89806384
