All green.
data/branches01.txt: N = 1, sb = 1, lengths = {1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches02.txt: N = 2, sb = 0, lengths = {}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches03.txt: N = 3, sb = 1, lengths = {1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches04.txt: N = 4, sb = 1, lengths = {4: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches05.txt: N = 5, sb = 2, lengths = {2: 1, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches06.txt: N = 6, sb = 6, lengths = {3: 3, 4: 3}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches07.txt: N = 7, sb = 4, lengths = {2: 3, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches08.txt: N = 8, sb = 30, lengths = {4: 21, 3: 9}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches09.txt: N = 9, sb = 7, lengths = {2: 6, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches10.txt: N = 10, sb = 113, lengths = {4: 94, 3: 19}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches11.txt: N = 11, sb = 11, lengths = {2: 10, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches12.txt: N = 12, sb = 342, lengths = {4: 309, 3: 33}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches13.txt: N = 13, sb = 16, lengths = {2: 15, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches14.txt: N = 14, sb = 849, lengths = {4: 798, 3: 51}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches15.txt: N = 15, sb = 22, lengths = {2: 21, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches16.txt: N = 16, sb = 1814, lengths = {4: 1741, 3: 73}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches17.txt: N = 17, sb = 29, lengths = {2: 28, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches18.txt: N = 18, sb = 3465, lengths = {4: 3366, 3: 99}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches19.txt: N = 19, sb = 37, lengths = {2: 36, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches20.txt: N = 20, sb = 6078, lengths = {4: 5949, 3: 129}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches21.txt: N = 21, sb = 46, lengths = {2: 45, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches22.txt: N = 22, sb = 9977, lengths = {4: 9814, 3: 163}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches23.txt: N = 23, sb = 56, lengths = {2: 55, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches24.txt: N = 24, sb = 15534, lengths = {4: 15333, 3: 201}, Queens seem consistent, sb seems consistent, lengths seem consistent
data/branches25.txt: N = 25, sb = 67, lengths = {2: 66, 1: 1}, Queens seem consistent, sb seems consistent, lengths seem consistent
