  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  ----------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4           128          16  8.00000000  {8: 16}
  5           448          56  8.00000000  {8: 56}
  6          1280         160  8.00000000  {8: 160}
  7          2688         336  8.00000000  {8: 336}
  8          4992         624  8.00000000  {8: 624}
  9          8256        1032  8.00000000  {8: 1032}
 10         12800        1600  8.00000000  {8: 1600}
 11         18688        2336  8.00000000  {8: 2336}
 12         26240        3280  8.00000000  {8: 3280}
 13         35520        4440  8.00000000  {8: 4440}
 14         46848        5856  8.00000000  {8: 5856}
 15         60288        7536  8.00000000  {8: 7536}
 16         76160        9520  8.00000000  {8: 9520}
 17         94528       11816  8.00000000  {8: 11816}
 18        115712       14464  8.00000000  {8: 14464}
 19        139776       17472  8.00000000  {8: 17472}
 20        167040       20880  8.00000000  {8: 20880}
