  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -------------------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3             0           0  0.00000000  {}
  4             4           2  2.00000000  {2: 2}
  5            68          10  6.80000000  {8: 8, 2: 2}
  6           424          60  7.06666667  {8: 48, 4: 8, 2: 4}
  7          1320         172  7.67441860  {8: 160, 4: 8, 2: 4}
  8          3564         462  7.71428571  {8: 432, 4: 24, 2: 6}
  9          7596         966  7.86335404  {8: 936, 4: 24, 2: 6}
 10         14800        1880  7.87234043  {8: 1824, 4: 48, 2: 8}
 11         25808        3256  7.92628993  {8: 3200, 4: 48, 2: 8}
 12         42580        5370  7.92923650  {8: 5280, 4: 80, 2: 10}
 13         65940        8290  7.95416164  {8: 8200, 4: 80, 2: 10}
 14         98424       12372  7.95538312  {8: 12240, 4: 120, 2: 12}
 15        141048       17700  7.96881356  {8: 17568, 4: 120, 2: 12}
 16        196924       24710  7.96940510  {8: 24528, 4: 168, 2: 14}
 17        267260       33502  7.97743418  {8: 33320, 4: 168, 2: 14}
 18        355744       44592  7.97775386  {8: 44352, 4: 224, 2: 16}
 19        463776       58096  7.98292481  {8: 57856, 4: 224, 2: 16}
 20        595620       74610  7.98311218  {8: 74304, 4: 288, 2: 18}
