  N    symmetries    branches    quotient  orbits
---  ------------  ----------  ----------  -----------------
  0             0           0  0.00000000  {}
  1             0           0  0.00000000  {}
  2             0           0  0.00000000  {}
  3            64           8  8.00000000  {8: 8}
  4           208          28  7.42857143  {8: 24, 4: 4}
  5           464          60  7.73333333  {8: 56, 4: 4}
  6           800         104  7.69230769  {8: 96, 4: 8}
  7          1248         160  7.80000000  {8: 152, 4: 8}
  8          1776         228  7.78947368  {8: 216, 4: 12}
  9          2416         308  7.84415584  {8: 296, 4: 12}
 10          3136         400  7.84000000  {8: 384, 4: 16}
 11          3968         504  7.87301587  {8: 488, 4: 16}
 12          4880         620  7.87096774  {8: 600, 4: 20}
 13          5904         748  7.89304813  {8: 728, 4: 20}
 14          7008         888  7.89189189  {8: 864, 4: 24}
 15          8224        1040  7.90769231  {8: 1016, 4: 24}
 16          9520        1204  7.90697674  {8: 1176, 4: 28}
 17         10928        1380  7.91884058  {8: 1352, 4: 28}
 18         12416        1568  7.91836735  {8: 1536, 4: 32}
 19         14016        1768  7.92760181  {8: 1736, 4: 32}
 20         15696        1980  7.92727273  {8: 1944, 4: 36}
 21         17488        2204  7.93466425  {8: 2168, 4: 36}
 22         19360        2440  7.93442623  {8: 2400, 4: 40}
 23         21344        2688  7.94047619  {8: 2648, 4: 40}
 24         23408        2948  7.94029851  {8: 2904, 4: 44}
 25         25584        3220  7.94534161  {8: 3176, 4: 44}
 26         27840        3504  7.94520548  {8: 3456, 4: 48}
 27         30208        3800  7.94947368  {8: 3752, 4: 48}
 28         32656        4108  7.94936709  {8: 4056, 4: 52}
 29         35216        4428  7.95302620  {8: 4376, 4: 52}
 30         37856        4760  7.95294118  {8: 4704, 4: 56}
 31         40608        5104  7.95611285  {8: 5048, 4: 56}
 32         43440        5460  7.95604396  {8: 5400, 4: 60}
 33         46384        5828  7.95881949  {8: 5768, 4: 60}
 34         49408        6208  7.95876289  {8: 6144, 4: 64}
 35         52544        6600  7.96121212  {8: 6536, 4: 64}
 36         55760        7004  7.96116505  {8: 6936, 4: 68}
 37         59088        7420  7.96334232  {8: 7352, 4: 68}
 38         62496        7848  7.96330275  {8: 7776, 4: 72}
 39         66016        8288  7.96525097  {8: 8216, 4: 72}
 40         69616        8740  7.96521739  {8: 8664, 4: 76}
 41         73328        9204  7.96697088  {8: 9128, 4: 76}
 42         77120        9680  7.96694215  {8: 9600, 4: 80}
 43         81024       10168  7.96852872  {8: 10088, 4: 80}
 44         85008       10668  7.96850394  {8: 10584, 4: 84}
 45         89104       11180  7.96994633  {8: 11096, 4: 84}
 46         93280       11704  7.96992481  {8: 11616, 4: 88}
 47         97568       12240  7.97124183  {8: 12152, 4: 88}
 48        101936       12788  7.97122302  {8: 12696, 4: 92}
 49        106416       13348  7.97243033  {8: 13256, 4: 92}
 50        110976       13920  7.97241379  {8: 13824, 4: 96}
