  N    symmetries    branches    quotient
---  ------------  ----------  ----------
  1             0           0  0.00000000
  2            20           6  3.33333333
  3           200          36  5.55555556
  4           792         120  6.60000000
  5          2080         300  6.93333333
  6          4620         630  7.33333333
  7          8424        1128  7.46808511
  8         13500        1770  7.62711864
  9         19608        2556  7.67136150
 10         26988        3486  7.74182444
 11         35400        4560  7.76315789
 12         45084        5778  7.80269990
 13         55800        7140  7.81512605
 14         67788        8646  7.84038862
 15         80808       10296  7.84848485
 16         95100       12090  7.86600496
 17        110424       14028  7.87168520
 18        127020       16110  7.88454376
 19        144648       18336  7.88874346
 20        163548       20706  7.89858012
 21        183480       23220  7.90180879
 22        204684       25878  7.90957570
 23        226920       28680  7.91213389
 24        250428       31626  7.91842155
 25        274968       34716  7.92049775
 26        300780       37950  7.92569170
 27        327624       41328  7.92740999
 28        355740       44850  7.93177258
 29        384888       48516  7.93321791
 30        415308       52326  7.93693384
 31        446760       56280  7.93816631
 32        479484       60378  7.94136937
 33        513240       64620  7.94243268
 34        548268       69006  7.94522215
 35        584328       73536  7.94614883
 36        621660       78210  7.94859992
 37        660024       83028  7.94941466
 38        699660       87990  7.95158541
 39        740328       93096  7.95230730
 40        782268       98346  7.95424318
 41        825240      103740  7.95488722
 42        869484      109278  7.95662439
 43        914760      114960  7.95720251
 44        961308      120786  7.95877006
 45       1008888      126756  7.95929187
 46       1057740      132870  7.96071348
 47       1107624      139128  7.96118682
 48       1158780      145530  7.96248196
 49       1210968      152076  7.96291328
 50       1264428      158766  7.96409811
