  N    orbits    branches    quotient
---  --------  ----------  ----------
  1         0           0  0.00000000
  2        20           6  3.33333333
  3       168          28  6.00000000
  4       420          66  6.36363636
  5       824         120  6.86666667
  6      1332         190  7.01052632
  7      1992         276  7.21739130
  8      2756         378  7.29100529
  9      3672         496  7.40322581
 10      4692         630  7.44761905
 11      5864         780  7.51794872
 12      7140         946  7.54756871
 13      8568        1128  7.59574468
 14     10100        1326  7.61689291
 15     11784        1540  7.65194805
 16     13572        1770  7.66779661
 17     15512        2016  7.69444444
 18     17556        2278  7.70676032
 19     19752        2556  7.72769953
 20     22052        2850  7.73754386
 21     24504        3160  7.75443038
 22     27060        3486  7.76247849
 23     29768        3828  7.77638454
 24     32580        4186  7.78308648
 25     35544        4560  7.79473684
 26     38612        4950  7.80040404
 27     41832        5356  7.81030620
 28     45156        5778  7.81516096
 29     48632        6216  7.82368082
 30     52212        6670  7.82788606
 31     55944        7140  7.83529412
 32     59780        7626  7.83897194
 33     63768        8128  7.84547244
 34     67860        8646  7.84871617
 35     72104        9180  7.85446623
 36     76452        9730  7.85734841
 37     80952       10296  7.86247086
 38     85556       10878  7.86504872
 39     90312       11476  7.86964099
 40     95172       12090  7.87196030
 41    100184       12720  7.87610063
 42    105300       13366  7.87819841
 43    110568       14028  7.88195038
 44    115940       14706  7.88385693
 45    121464       15400  7.88727273
 46    127092       16110  7.88901304
 47    132872       16836  7.89213590
 48    138756       17578  7.89373080
 49    144792       18336  7.89659686
 50    150932       19110  7.89806384
 51    157224       19900  7.90070352
 52    163620       20706  7.90205737
 53    170168       21528  7.90449647
 54    176820       22366  7.90574980
 55    183624       23220  7.90801034
 56    190532       24090  7.90917393
 57    197592       24976  7.91127482
 58    204756       25878  7.91235799
 59    212072       26796  7.91431557
 60    219492       27730  7.91532636
 61    227064       28680  7.91715481
 62    234740       29646  7.91810025
 63    242568       30628  7.91981194
 64    250500       31626  7.92069816
 65    258584       32640  7.92230392
 66    266772       33670  7.92313632
 67    275112       34716  7.92464570
 68    283556       35778  7.92542903
 69    292152       36856  7.92685044
 70    300852       37950  7.92758893
 71    309704       39060  7.92892985
 72    318660       40186  7.92962723
 73    327768       41328  7.93089431
 74    336980       42486  7.93155392
 75    346344       43660  7.93275309
 76    355812       44850  7.93337793
 77    365432       46056  7.93451450
 78    375156       47278  7.93510724
 79    385032       48516  7.93618600
 80    395012       49770  7.93674905
 81    405144       51040  7.93777429
 82    415380       52326  7.93830983
 83    425768       53628  7.93928545
 84    436260       54946  7.93979544
 85    446904       56280  7.94072495
 86    457652       57630  7.94121117
 87    468552       58996  7.94209777
 88    479556       60378  7.94256186
 89    490712       61776  7.94340844
 90    501972       63190  7.94385188
 91    513384       64620  7.94466110
 92    524900       66066  7.94508522
 93    536568       67528  7.94585950
 94    548340       69006  7.94626554
 95    560264       70500  7.94700709
 96    572292       72010  7.94739619
 97    584472       73536  7.94810705
 98    596756       75078  7.94848025
 99    609192       76636  7.94916227
100    621732       78210  7.94952052
