   N    orbits    quotient
----  --------  ----------
   1         0  0.00000000
   2        20  3.33333333
   3        36  3.60000000
   4       420  6.36363636
   5       168  4.66666667
   6      1332  7.01052632
   7       396  5.07692308
   8      2756  7.29100529
   9       720  5.29411765
  10      4692  7.44761905
  11      1140  5.42857143
  12      7140  7.54756871
  13      1656  5.52000000
  14     10100  7.61689291
  15      2268  5.58620690
  16     13572  7.66779661
  17      2976  5.63636364
  18     17556  7.70676032
  19      3780  5.67567568
  20     22052  7.73754386
  21      4680  5.70731707
  22     27060  7.76247849
  23      5676  5.73333333
  24     32580  7.78308648
  25      6768  5.75510204
  26     38612  7.80040404
  27      7956  5.77358491
  28     45156  7.81516096
  29      9240  5.78947368
  30     52212  7.82788606
  31     10620  5.80327869
  32     59780  7.83897194
  33     12096  5.81538462
  34     67860  7.84871617
  35     13668  5.82608696
  36     76452  7.85734841
  37     15336  5.83561644
  38     85556  7.86504872
  39     17100  5.84415584
  40     95172  7.87196030
  41     18960  5.85185185
  42    105300  7.87819841
  43     20916  5.85882353
  44    115940  7.88385693
  45     22968  5.86516854
  46    127092  7.88901304
  47     25116  5.87096774
  48    138756  7.89373080
  49     27360  5.87628866
  50    150932  7.89806384
  51     29700  5.88118812
  52    163620  7.90205737
  53     32136  5.88571429
  54    176820  7.90574980
  55     34668  5.88990826
  56    190532  7.90917393
  57     37296  5.89380531
  58    204756  7.91235799
  59     40020  5.89743590
  60    219492  7.91532636
  61     42840  5.90082645
  62    234740  7.91810025
  63     45756  5.90400000
  64    250500  7.92069816
  65     48768  5.90697674
  66    266772  7.92313632
  67     51876  5.90977444
  68    283556  7.92542903
  69     55080  5.91240876
  70    300852  7.92758893
  71     58380  5.91489362
  72    318660  7.92962723
  73     61776  5.91724138
  74    336980  7.93155392
  75     65268  5.91946309
  76    355812  7.93337793
  77     68856  5.92156863
  78    375156  7.93510724
  79     72540  5.92356688
  80    395012  7.93674905
  81     76320  5.92546584
  82    415380  7.93830983
  83     80196  5.92727273
  84    436260  7.93979544
  85     84168  5.92899408
  86    457652  7.94121117
  87     88236  5.93063584
  88    479556  7.94256186
  89     92400  5.93220339
  90    501972  7.94385188
  91     96660  5.93370166
  92    524900  7.94508522
  93    101016  5.93513514
  94    548340  7.94626554
  95    105468  5.93650794
  96    572292  7.94739619
  97    110016  5.93782383
  98    596756  7.94848025
  99    114660  5.93908629
 100    621732  7.94952052
 101    119400  5.94029851
 102    647220  7.95051962
 103    124236  5.94146341
 104    673220  7.95147993
 105    129168  5.94258373
 106    699732  7.95240368
 107    134196  5.94366197
 108    726756  7.95329292
 109    139320  5.94470046
 110    754292  7.95414953
 111    144540  5.94570136
 112    782340  7.95497529
 113    149856  5.94666667
 114    810900  7.95577183
 115    155268  5.94759825
 116    839972  7.95654068
 117    160776  5.94849785
 118    869556  7.95728326
 119    166380  5.94936709
 120    899652  7.95800088
 121    172080  5.95020747
 122    930260  7.95869480
 123    177876  5.95102041
 124    961380  7.95936615
 125    183768  5.95180723
 126    993012  7.96001603
 127    189756  5.95256917
 128   1025156  7.96064545
 129    195840  5.95330739
 130   1057812  7.96125536
 131    202020  5.95402299
 132   1090980  7.96184666
 133    208296  5.95471698
 134   1124660  7.96242017
 135    214668  5.95539033
 136   1158852  7.96297671
 137    221136  5.95604396
 138   1193556  7.96351699
 139    227700  5.95667870
 140   1228772  7.96404174
 141    234360  5.95729537
 142   1264500  7.96455160
 143    241116  5.95789474
 144   1300740  7.96504721
 145    247968  5.95847751
 146   1337492  7.96552915
 147    254916  5.95904437
 148   1374756  7.96599798
 149    261960  5.95959596
 150   1412532  7.96645423
 151    269100  5.96013289
 152   1450820  7.96689840
 153    276336  5.96065574
